bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
11921,Industrial Magic (Women of the Otherworld #4),Kelley Armstrong,4.13,0553587072,9.78055E+12,eng,528.0,777,48,10/26/2004,Bantam Spectra
34548,If Chins Could Kill: Confessions of a B Movie Actor,Bruce Campbell,4.0,0312291450,9.78031E+12,eng,344.0,13622,731,8/24/2002,L.A. Weekly Books
39031,The Cabinet of Curiosities (Pendergast  #3),Douglas Preston/Lincoln Child,4.25,0446611239,9.78045E+12,eng,629.0,34650,1722,06/01/2003,Warner Books
5205,A Map of the World,Jane Hamilton/Frank  Muller/C.J. Critt,3.81,0385720106,9.78039E+12,en-GB,400.0,68554,1476,12/03/1999,Anchor Books
42855,Great Speeches by African Americans: Frederick Douglass  Sojourner Truth  Dr. Martin Luther King  Jr.  Barack Obama  and Others,James Daley/Barack Obama/Martin Luther King Jr.,4.3,0486447618,9.78049E+12,eng,160.0,230,21,4/28/2006,Dover Publications
40470,Cities of the Plain (The Border Trilogy  #3),Cormac McCarthy,4.09,0679747192,9.78068E+12,eng,292.0,17475,946,5/25/1999,Vintage
10682,The Secret of Fantasy Forest (Sweet Valley Kids #67),Francine Pascal/Molly Mia Stewart/Ying-Hwa Hu,3.94,0553483323,9.78055E+12,eng,96.0,54,2,09/01/1996,Sweet Valley
20219,Keats's Poetry and Prose,John Keats/Jeffrey N. Cox,4.3,0393924912,9.78039E+12,eng,673.0,291,10,08/01/2008,W. W. Norton & Company
12969,Winter's Tales,Isak Dinesen/Karen Blixen,3.9,0679743340,9.78068E+12,eng,320.0,1464,100,06/01/1993,Vintage
37477,Happiness,Will Ferguson,3.79,006052510X,9.78006E+12,eng,320.0,2256,182,06/03/2003,HarperPerennial
4935,The Brothers Karamazov,Fyodor Dostoyevsky/David McDuff,4.32,0140449248,9.78014E+12,eng,1013.0,1673,184,2/27/2003,Penguin Books Ltd
18533,Doctor Faustus and Other Plays,Christopher Marlowe/Eric Rasmussen/David Bevington,3.98,0192834452,9.78019E+12,eng,503.0,1712,40,05/07/1998,Oxford University Press
1489,Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,4.1,0192832603,9.78019E+12,eng,282.0,158,2,12/20/2001,Oxford University Press
6366,My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),Dixie Cash,3.88,0061134236,9.78006E+12,eng,336.0,1226,120,8/29/2006,William Morrow Paperbacks
16994,The Flash: Dead Heat,Mark Waid/Oscar Jimenez/Humberto Ramos/José Marzán Jr./Wayne Faucher,3.93,1563896230,9.78156E+12,eng,144.0,216,10,08/01/2000,DC Comics
1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer,3.49,0140285970,9.78014E+12,eng,400.0,102,8,09/01/1999,Penguin Books
2102,Stephen Hawking's Universe,John Boslough,4.02,0380707632,9.78038E+12,eng,160.0,674,30,06/01/1989,Avon
2166,The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,3.77,0743564367,9.78074E+12,eng,3.0,393,77,05/01/2006,Simon  Schuster Audio
33501,Song of Cthulhu: Tales of the Spheres Beyond Sound,Stephen Mark Rainey/H.P. Lovecraft/Ramsey Campbell/Edward P. Berglund/Fred Chappel/Caitlín R. Kiernan/Thomas F. Montelone/E.A. Lustig/Brian McNaughton/William R. Trotter,3.67,1568821174,9.78157E+12,eng,211.0,45,4,12/03/2005,Chaosium
38650,Laura Ingalls Wilder Country: The People and places in Laura Ingalls Wilder's life and books,William   Anderson/Leslie A.  Kelly,4.24,0060973463,9.78006E+12,eng,120.0,91,7,12/01/1995,Harper Perennial
30735,The Complete Essays,Michel de Montaigne/M.A. Screech,4.24,0140446044,9.78014E+12,eng,1344.0,10657,290,2/25/1993,Penguin Classics
15578,The Elfstones of Shannara (The Original Shannara Trilogy #2),Terry Brooks,3.97,0345285549,9.78035E+12,eng,564.0,1691,152,10/10/2000,Del Rey Books
18279,Phenomenology of Perception,Maurice Merleau-Ponty/Colin Smith,4.15,0415278414,9.78042E+12,eng,544.0,5078,77,05/03/2005,Routledge
45529,Montaillou: The Promised Land of Error,Emmanuel Le Roy Ladurie/Barbara Bray,3.96,0394729641,9.78039E+12,eng,416.0,1142,62,07/12/1979,Vintage/Random House (NY)
39637,Run (Fearless  #3),Francine Pascal,3.93,067103748X,9.78067E+12,eng,205.0,2262,50,03/01/2000,Simon & Schuster (Trade Division)
4106,Blink 182,Anne Hoppus,4.42,0859653234,9.78086E+12,eng,112.0,62,4,12/01/2001,Plexus Publishing Ltd
25866,My Uncle Napoleon,Iraj Pezeshkzad/Dick Davis/Azar Nafisi,4.16,0812974433,9.78081E+12,eng,509.0,790,113,04/11/2006,Modern Library
14473,Merry Christmas  Amelia Bedelia,Peggy Parish/Lynn Sweat,4.29,0060099453,9.78006E+12,eng,64.0,2508,63,10/01/2002,Greenwillow Books
9223,Teaching Classical Ballet,John               White,4.47,081301395X,9.78081E+12,eng,200.0,15,1,4/20/1996,University Press of Florida
21071,Landscape and Memory,Simon Schama,4.17,0679735127,9.78068E+12,eng,672.0,900,80,11/05/1996,Vintage
31490,The Serpent and the Rainbow,Wade Davis,3.91,0684839296,9.78068E+12,en-US,304.0,3373,293,08/05/1997,Simon  Schuster
11978,Terraforming Earth,Jack Williamson,3.46,0765344971,9.78077E+12,eng,352.0,17,3,2/17/2003,Tor Science Fiction
16181,The Constant Princess (The Plantagenet and Tudor Novels  #6),Philippa Gregory,3.9,0743272498,9.78074E+12,eng,390.0,136931,3915,09/06/2006,Washington Square Press
42609,As You Like It,William Shakespeare/Juliet Dusinberre,3.83,1904271227,9.7819E+12,eng,449.0,410,36,7/25/2006,Bloomsbury Arden Shakespeare
2519,The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,0307264890,9.78031E+12,en-US,560.0,1338,113,9/26/2006,Everyman's Library
37947,The Pusher (87th Precinct  #3),Ed McBain,3.9,0752857932,9.78075E+12,eng,192.0,1098,75,07/03/2003,Orion Books
42355,God's Generals Why They Succeeded and Why Some Fail,Roberts Liardon,4.45,0883689448,9.78088E+12,eng,416.0,1481,67,11/01/2000,Whitaker House
21779,The Season: A Candid Look at Broadway,William Goldman,4.1,0879100230,0073999768442,eng,448.0,291,35,07/01/2004,Limelight
36664,Mary Engelbreit's Home Companion,Charlotte Lyons/Mary Engelbreit/Barbara E. Martin,4.12,0836246217,9.78084E+12,eng,128.0,60,2,08/01/1994,Andrews McMeel Publishing
23547,America (The Book): A Citizen's Guide to Democracy Inaction  (Teacher's Edition),Jon   Stewart/Scott C. Jacobson,4.02,0446691860,9.78045E+12,en-GB,227.0,1827,116,9/25/2006,Warner Books
13922,Wolfskin (Saga of the Light Isles  #1),Juliet Marillier,4.01,0765345900,9.78077E+12,eng,544.0,5653,225,08/01/2004,Tor Books
11482,Looking for the Light: The Hidden Life and Art of Marion Post Wolcott,Paul Hendrickson/Marion Post Wolcott,4.07,0394577299,9.78039E+12,eng,297.0,14,3,4/21/1992,Alfred A. Knopf
13488,JoJo's Bizarre Adventure  Vol. 4 (Stardust Crusaders  #4),Hirohiko Araki,4.45,142150653X,9.78142E+12,eng,208.0,450,8,06/06/2006,VIZ Media
5875,Regeneration (Species Imperative  #3),Julie E. Czerneda,4.13,0756403456,9.78076E+12,en-US,543.0,54,2,05/02/2006,DAW Hardcover
4695,The Rabbi,Noah Gordon,3.69,0449214540,9.78045E+12,eng,448.0,921,44,08/12/1987,Fawcett
32686,Legends,Robert Silverberg/Stephen King/Robert Jordan/Terry Goodkind/Anne McCaffrey/Orson Scott Card/Tad Williams/George R.R. Martin/Raymond E. Feist/Terry Pratchett/Ursula K. Le Guin,3.92,0765300354,9.78077E+12,en-US,717.0,339,25,09/08/2001,Tor Books
44533,Hood,Emma Donoghue,3.59,1555834531,9.78156E+12,eng,309.0,1895,170,07/01/1998,Alyson Books
38898,The Guide to Hollywood and Beverly Hills,Charles Lockwood,4.33,0517550369,9.78052E+12,eng,174.0,3,0,1/16/1984,Random House Value Publishing
9124,The Picture of Dorian Gray,Oscar Wilde/Michael Gillespie,4.08,0393927547,9.78039E+12,en-US,517.0,663,52,08/01/2006,W. W. Norton & Company
25216,Eden: It's an Endless World  Volume 3 (Eden: It's an Endless World  #3),Hiroki Endo,4.2,1593075294,9.78159E+12,eng,224.0,421,14,5/16/2006,Dark Horse Manga
34288,The Time of the Ghost,Diana Wynne Jones,3.66,0064473546,9.78006E+12,eng,291.0,2122,123,01/01/1981,HarperTrophy
3579,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),L.M. Montgomery,4.43,0553609416,0076783609419,eng,2088.0,98611,1447,10/06/1998,Starfire
7716,Plays Pleasant,George Bernard Shaw/Dan H. Laurence/W.J. McCormack,3.9,0140437940,9.78014E+12,eng,336.0,265,10,3/27/2003,Penguin Classics
15872,Harry Potter y el misterio del príncipe (Harry Potter  #6),J.K. Rowling/Gemma Rovira Ortega,4.57,8478889930,9.78848E+12,spa,602.0,5104,386,2/28/2006,Salamandra
32286,A Mad People's History of Madness,Dale Peterson,4.33,0822953315,9.78082E+12,eng,384.0,9,0,3/15/1982,University of Pittsburgh Press
26055,The MacGregors: Alan & Grant (The MacGregors  #3-4),Nora Roberts,4.11,037328523X,9.78037E+12,eng,458.0,9423,90,6/16/2006,Mira
30268,Dates from Hell,Kim Harrison/Lynsay Sands/Kelley Armstrong/Lori Handeland,3.78,006085409X,9.78006E+12,eng,416.0,10630,309,3/28/2006,Avon
16842,A Single Man,Christopher Isherwood,4.1,0816638624,9.78082E+12,eng,192.0,17451,1029,3/20/2001,Univ Of Minnesota Press
43669,McNally's Caper (Archy McNally  #4),Lawrence Sanders,3.9,0425145301,9.78043E+12,eng,352.0,1604,49,01/01/1995,Berkley
26292,The Chairman (Christian Gillette  #1),Stephen W. Frey,3.98,0345457617,9.78035E+12,eng,415.0,2173,89,12/27/2005,Fawcett Books
8051,Gary Grizzle,Roger Hargreaves/Gray Jolliffe,4.33,0679801251,9.78068E+12,eng,32.0,3,0,10/14/1989,Random House for Young Readers
14318,Chronicles: Volume One,Bob Dylan,3.98,0743244583,9.78074E+12,eng,320.0,42014,1304,9/13/2005,Simon  Schuster
9619,Bradbury Stories: 100 of His Most Celebrated Tales,Ray Bradbury,4.41,0060544880,9.78006E+12,eng,912.0,5161,184,04/05/2005,William Morrow Paperbacks
24657,Penguin Book Of Norse Myths: Gods Of The Vikings,Kevin Crossley-Holland,4.2,0140258698,9.78014E+12,en-GB,276.0,116,9,01/07/1997,Penguin UK
20316,Bullet Proof (Eliot Ness  #3),Max Allan Collins,3.98,0727862987,9.78073E+12,eng,197.0,31,2,12/20/2005,Severn House Publishers
33777,Venice: Tales of the City,Michelle Lovric,3.68,034911899X,9.78035E+12,eng,464.0,34,3,1/20/2005,Abacus
6721,Wild Things: Four Tales,Douglas Clegg,3.58,1587671565,9.78159E+12,eng,97.0,67,8,10/01/2006,Cemetery Dance Publications
5217,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07,1417735988,9.78142E+12,eng,417.0,90,5,02/01/2006,Turtleback Books
25841,The Road To War  1933 39,Andrew      Hunt,0.0,0340774770,9.78034E+12,eng,128.0,0,0,04/01/2000,Hodder & Stoughton Educational Division
33137,Floating in My Mother's Palm,Ursula Hegi/John Collier/Francine Kass,3.82,0684854759,9.78068E+12,en-US,192.0,2738,218,07/03/1998,Touchstone
30646,Beyond the Chains of Illusion: My Encounter with Marx and Freud,Erich Fromm/Rainer Funk,4.07,082641897X,9.78083E+12,eng,152.0,285,20,12/17/2006,Bloomsbury / Continuum
33507,Twenty Thousand Leagues Under the Sea (Extraordinary Voyages  #6),Jules Verne/Anthony Bonner,3.88,076072850X,9.78076E+12,eng,394.0,142879,3087,04/01/2002,Barnes & Noble
3468,El Guardián,Nicholas Sparks/Ramón González Férriz,4.15,8496284530,9.7885E+12,spa,444.0,31,3,04/01/2005,Roca Editorial
32951,Sister Outsider: Essays and Speeches,Audre Lorde,4.49,0895941414,9.7809E+12,en-GB,190.0,12105,568,06/01/1984,Crossing Press
16035,When the Elephants Dance,Tess Uriza Holthe,4.03,0142002887,9.78014E+12,en-US,368.0,2627,382,6/24/2003,Penguin Books
7959,Rachel & Leah (Women of Genesis  #3),Orson Scott Card,3.85,0765341298,9.78077E+12,en-GB,368.0,5618,514,11/29/2005,Forge Books
44644,Principle-Centered Leadership,Stephen R. Covey,4.1,0671792806,9.78067E+12,eng,336.0,15003,140,10/01/1992,Free Press
43812,Entrevista con el vampiro (Crónicas vampíricas  #1),Anne Rice/Marcelo Covián,3.99,8466616209,9.78847E+12,spa,463.0,1307,93,06/01/2005,Ediciones B
32264,The Family that Couldn't Sleep,D.T. Max,3.91,1400062454,9.7814E+12,eng,299.0,4568,350,09/05/2006,Random House (NY)
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9.78077E+12,eng,426.0,4789,83,8/29/2006,Tor Science Fiction
30143,L'albero,Shel Silverstein/Daniela Gamba,4.37,887782719X,9.78888E+12,ita,62.0,36,7,05/01/2000,Salani
19337,The Tale of the Flopsy Bunnies,Beatrix Potter,4.19,072324779X,9.78072E+12,eng,58.0,5209,130,03/07/2002,Warne
34539,Going Postal (Discworld  #33),Terry Pratchett,4.38,0060013133,9.78006E+12,en-US,377.0,969,114,9/28/2004,Harper
25440,The Namesake: A Portrait of the Film Based on the Novel by Jhumpa Lahiri,Mira Nair/Jhumpa Lahiri,4.05,1557047413,9.78156E+12,eng,144.0,621,26,12/01/2006,Newmarket
28428,The Secret Swan,Shana Abe,3.67,0553582003,9.78055E+12,eng,393.0,695,51,04/03/2001,Bantam
26147,Man's Search for Meaning,Viktor E. Frankl/Ilse Lasch/Gordon W. Allport,4.36,1844132390,9.78184E+12,eng,160.0,1959,198,05/06/2004,Rider
1935,Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,4.07,1402714580,9.7814E+12,eng,536.0,1395,131,10/01/2004,Sterling
4686,Ultimate Punishment,Scott Turow,3.81,031242373X,9.78031E+12,eng,176.0,506,50,08/01/2004,St. Martins Press-3PL
34327,La Biblia de los Critales: Guia definitiva de los cristales (Cuerpo-Mente),Judy Hall,4.38,8484451143,9.78848E+12,spa,383.0,6,0,01/01/2006,Gaia Books
15598,Heart & Hands: A Midwife's Guide to Pregnancy & Birth,Elizabeth  Davis/Suzanne Arms,4.37,1587612216,9.78159E+12,eng,312.0,875,43,11/01/2004,Celestial Arts
16685,The Cat Who Walks Through Walls (The World As Myth),Robert A. Heinlein,3.7,0441094996,9.78044E+12,en-US,388.0,19427,572,06/01/1988,Ace Books
18790,The Portable Faulkner,William Faulkner/Malcolm Cowley,4.29,014243728X,9.78014E+12,eng,650.0,776,22,2/25/2003,Penguin Books
18615,Princess Sultana's Daughters,Jean Sasson,3.89,038547444X,9.78039E+12,eng,229.0,59,5,06/01/1994,Doubleday Books
25672,Confessions of Saint Augustine (Paraclete Living Library),Augustine of Hippo/J.M. Lelen,3.92,0899421695,9.7809E+12,eng,448.0,13,4,01/01/1997,Catholic Book Publishing
22331,Stable Strategies and Others,Eileen Gunn/Howard Waldrop/William Gibson,3.77,189239118X,9.78189E+12,eng,208.0,104,19,09/01/2004,Tachyon Publications
10574,The Colorado Kid,Stephen King,3.32,0843955848,9.78084E+12,eng,178.0,24611,1970,2/20/2006,Hard Crime Case
30399,The Switch,Sandra Brown,3.92,0749932554,9.78075E+12,eng,576.0,9295,478,09/06/2001,Piatkus Books
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,0812969707,9.78081E+12,eng,397.0,1693,100,09/12/2006,Random House
17031,Flatland,Edwin A. Abbott/Ian Stewart,3.82,190398517X,9.7819E+12,eng,272.0,14,2,03/06/2002,Basic Books
24205,Boys Against Girls (Sweet Valley Twins  #17),Francine Pascal/Jamie Suzanne,3.47,0553155717,9.78055E+12,eng,104.0,18,2,03/01/1988,Bantam
22803,犬夜叉 26,Rumiko Takahashi,4.28,4091256465,9.78409E+12,jpn,192.0,11,1,6/18/2002,小学館
7591,A Portrait of the Artist as a Young Man,James Joyce/Jim Norton,3.61,9626343664,9.78963E+12,eng,368.0,27,8,08/01/2005,Naxos Audiobooks
30626,Letters to Children,C.S. Lewis/Lyle Wesley Dorsett/Marjorie Lamp Mead/Douglas Gresham,4.19,0805420436,9.78081E+12,eng,128.0,1634,134,3/31/1999,B&H Publishing Group
10500,Baby Names for Dummies,Margaret  Rose/Heather Rose Jones,3.32,0764543407,9.78076E+12,eng,364.0,13,7,05/01/2005,For Dummies
2411,Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,0252063023,9.78025E+12,eng,164.0,0,0,07/01/1993,University of Illinois Press
25348,Get Out of Your Mind and Into Your Life: The New Acceptance and Commitment Therapy,Steven C. Hayes/Spencer  Smith,4.05,1572244259,9.78157E+12,eng,224.0,1506,86,11/01/2005,New Harbinger Publications
5202,The Treasure Hunt: A Little Bill Book,Bill Cosby/Varnette P. Honeywood,3.34,0590956183,9.78059E+12,eng,40.0,364,18,09/01/1997,Cartwheel
16398,Thank You  Jeeves,P.G. Wodehouse/Jonathan Cecil,4.24,1572704616,9.78157E+12,eng,6.0,66,23,5/26/2005,AudioGO
16430,City of Night (Dean Koontz's Frankenstein  #2),Dean Koontz/Ed Gorman,3.98,0553587897,9.78055E+12,en-US,455.0,1060,116,7/26/2005,Bantam Books
40870,Lurulu,Jack Vance,3.59,0312872798,9.78031E+12,en-US,204.0,276,20,02/06/2007,Tor Books
6151,Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,4.28,0824519868,9.78082E+12,eng,160.0,7551,498,10/01/2002,Crossroad
30739,On Friendship,Michel de Montaigne/M.A. Screech,3.73,0143036297,9.78014E+12,eng,128.0,50,6,09/06/2005,Penguin Books
40048,Un rôle qui me convient,Richard Russo/Jean-Luc Piningre,4.02,2264034890,9.78226E+12,fre,430.0,6,0,8/29/2002,Éditions 10/18
12616,11 de Septiembre,Noam Chomsky,3.73,158322565X,9.78158E+12,spa,144.0,14,2,09/03/2002,Siete Cuentos
25435,Let Justice Roll Down,John M. Perkins/Shane Claiborne,4.35,0830743073,9.78083E+12,eng,219.0,767,89,12/06/2006,Regal Books
10920,Cold Mountain,Charles Frazier,3.86,0802142842,9.7808E+12,eng,356.0,208001,4972,09/01/2006,Grove Press
18849,The Letters of Virginia Woolf: Volume Six  1936-1941,Virginia Woolf/Nigel Nicolson/Joanne Trautmann,4.48,0156508877,9.78016E+12,eng,576.0,96,2,9/30/1982,Mariner Books
28087,Gabriel García Márquez: One Hundred Years of Solitude,Michael  Wood,4.54,0521316928,9.78052E+12,eng,132.0,3604,78,5/31/1990,Cambridge University Press
17241,Dracula,Bram Stoker/Robert Whitfield,3.99,0786180404,9.78079E+12,eng,15.0,53,12,12/01/1998,Blackstone Audiobooks
29256,Journey of Awakening: A Meditator's Guidebook,Ram Dass/Richard Alpert,4.17,0553285726,9.78055E+12,en-US,448.0,898,52,07/01/1990,Bantam
7911,Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,4.03,1416916172,9.78142E+12,eng,352.0,22023,395,06/01/2006,Aladdin
32317,Who's To Blame (Sweet Valley High  #66),Francine Pascal/Kate William,3.36,0553285556,9.78055E+12,eng,152.0,406,5,06/01/1990,Bantam
13062,Skin Tight (Mick Stranahan  #1),Carl Hiaasen,3.96,0446695696,9.78045E+12,en-US,420.0,14475,571,04/12/2005,Warner Books (NY)
21370,The Good Guy,Dean Koontz/Richard Ferrrone,3.82,0739332937,9.78074E+12,eng,9.0,115,24,5/29/2007,Random House Audio Publishing Group
22677,Feeling Better  Getting Better  Staying Better: Profound Self-Help Therapy for Your Emotions,Albert Ellis,3.76,1886230358,9.78189E+12,eng,272.0,51,6,06/01/2001,Impact
4135,I Like You: Hospitality Under the Influence,Amy Sedaris,3.88,0446578843,9.78045E+12,eng,304.0,37258,1401,10/16/2006,Warner Books (NY)
39304,The Forsaken (Vampire Huntress  #7),L.A. Banks,4.35,0312352352,9.78031E+12,eng,448.0,1878,36,6/27/2006,St. Martin's Griffin
34069,Much Ado about Nothing,William Shakespeare/Roma Gill,4.07,0198321473,9.7802E+12,eng,160.0,37,5,12/02/2004,Oxford University Press  USA
27189,Teleportation: From Star Trek to Tesla,Commander X/Tim R. Swartz,2.83,1892062437,9.78189E+12,eng,139.0,2,1,8/20/2012,Inner Light - Global Communications
32849,Adrift in the Pacific: Two Years Holiday (Extraordinary Voyages  #32),Jules Verne,3.99,1410102157,9.78141E+12,eng,300.0,1956,39,4/24/2003,Fredonia Books (NL)
41486,Santa Cruise: A Holiday Mystery at Sea,Mary Higgins Clark/Carol Higgins Clark,3.41,1416535527,9.78142E+12,eng,261.0,4844,433,11/14/2006,Scribner
20252,House Corrino (Prelude to Dune #3),Brian Herbert/Kevin J. Anderson,3.68,0553580337,9.78055E+12,eng,667.0,12257,167,8/27/2002,Spectra Books
44508,The Best American Spiritual Writing 2006,Philip Zaleski/Peter J. Gomes,3.5,0618586458,9.78062E+12,eng,336.0,29,11,10/11/2006,Mariner Books
29406,To the Friend who Didn't Save my Life,Hervé Guibert/Linda Cloverdale,3.92,1852423285,9.78185E+12,eng,240.0,110,15,01/01/1998,Serpent's Tail
11769,The Hotel New Hampshire,John Irving,3.9,0552120405,9.78055E+12,eng,428.0,217,26,12/31/1982,Corgi Books
32396,Henry IV  Part 1,William Shakespeare/Barbara A. Mowat/Paul Werstine,3.83,0743485041,9.78074E+12,eng,336.0,1604,146,01/01/2005,Simon  Schuster
23307,Ulysses S. Grant,Josiah Bunting/Arthur M. Schlesinger Jr.,3.89,0805069496,9.78081E+12,eng,208.0,445,40,09/08/2004,Times Books
33978,ER Vets: Life in an Animal Emergency Room,Donna M. Jackson,3.91,0618436634,9.78062E+12,eng,96.0,110,33,11/28/2005,HMH Books for Young Readers
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,3.99,0142000280,9.78014E+12,en-GB,267.0,105507,3838,12/31/2002,Penguin Books
67,The Known World,Edward P. Jones,3.83,0061159174,9.78006E+12,eng,388.0,29686,2626,8/29/2006,Amistad
21294,The Edge of Honor,P.T. Deutermann,3.97,0312953968,9.78031E+12,eng,626.0,168,16,5/15/1995,St. Martin's Paperbacks
12914,The Aeneid,Virgil/Robert Fitzgerald,3.84,0679729526,9.78068E+12,eng,442.0,87406,1182,6/16/1990,Vintage
10471,The New Whole Foods Encyclopedia: A Comprehensive Resource for Healthy Eating,Rebecca  Wood/Paul Pitchford,4.2,0140250328,9.78014E+12,eng,464.0,212,18,07/01/1999,Penguin Books
31305,A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie/Michael Bakewell/June Whitfield/Nicky Henson/Derek Waring/Natasha Pyne,3.86,0792737369,9.78079E+12,eng,2.0,38,3,04/01/2014,Blackstone Audiobooks
26050,Angels Fall,Nora Roberts,4.0,0399153721,9.7804E+12,eng,391.0,37314,1040,07/11/2006,Putnam
24052,Chasing The Falconers (On The Run  #1),Gordon Korman,4.05,0439651360,9.78044E+12,eng,154.0,4598,371,04/01/2005,Scholastic  Inc.
34229,Complete Guide to the Bible,Reader's Digest Association,4.58,0762100737,9.78076E+12,eng,448.0,12,3,8/24/1998,Readers Digest
34080,The Waste Land,T.S. Eliot/Michael North,4.11,0393974995,9.78039E+12,eng,320.0,35549,680,12/01/2000,W.W. Norton & Company
16503,The Arms of Hercules (Book of the Gods  #3),Fred Saberhagen,3.7,0812566807,9.78081E+12,eng,352.0,150,1,4/15/2002,Tor Books
45291,Walt Whitman: A Life,Justin Kaplan,3.99,0060535113,9.78006E+12,eng,464.0,217,17,07/08/2003,Harper Perennial Modern Classics
30743,To America with Love: Letters from the Underground,Abbie Hoffman/Anita Hoffman,3.96,1888996285,9.78189E+12,eng,224.0,69,3,09/01/2000,Red Hen Pr
21629,Worlds Apart (Worlds 2),Joe Haldeman,3.69,0380716828,9.78038E+12,eng,227.0,485,8,6/28/1992,Avon Books (AvoNova)
41315,Syrup,Max Barry,3.88,0140291873,9.78014E+12,en-US,304.0,4715,303,07/01/2000,New York : Penguin Books
36555,Hallucinations: or  The Ill-Fated Peregrinations of Fray Servando,Reinaldo Arenas/Andrew Hurley/Thomas Colchie,4.09,0142000191,9.78014E+12,en-US,288.0,187,8,12/31/2001,Penguin Books
29547,Everyone Worth Knowing,Lauren Weisberger,3.4,1416543007,9.78142E+12,en-US,448.0,67653,1680,12/26/2006,Pocket Books
23249,Perfect Circle,Sean Stewart,3.8,1931520119,9.78193E+12,eng,243.0,679,69,06/01/2004,Small Beer Press
45054,The Zen Gardening Kit/Book and Japanese Rock Garden,Daniel Abdal-Hayy Moore,3.16,1561381489,9.78156E+12,eng,96.0,29,2,11/23/1992,Running Press Book Publishers
6810,The McDougall Quick and Easy Cookbook,John A. McDougall/Mary McDougall,4.01,0452276969,9.78045E+12,eng,336.0,308,20,04/01/1999,Plume
18013,The Pirate Dictionary,Terry Breverton,3.7,1589802438,9.78159E+12,eng,189.0,51,7,7/31/2004,Pelican Publishing Company
9638,The Cat's Pajamas,Ray Bradbury,3.73,0060777338,9.78006E+12,eng,234.0,1370,122,7/26/2005,William Morrow Paperbacks
5219,The Bluest Eye,Toni Morrison,4.03,0452282195,9.78045E+12,eng,216.0,3420,280,4/27/2000,Plume Books
6008,Five T'ang Poets,Wang Wei/Li Bai/Li Ho/Li Shang-yin/David        Young,4.3,093244055X,9.78093E+12,eng,184.0,169,21,10/08/1990,Oberlin College Press
21718,Blindsighted (Grant County  #1),Karin Slaughter,4.09,0380820889,9.78038E+12,eng,418.0,53996,2171,10/01/2002,HarperTorch
31373,In Pursuit of the Proper Sinner (Inspector Lynley  #10),Elizabeth  George,4.1,0553575104,9.78055E+12,eng,718.0,10608,295,11/31/2000,Bantam Books
1988,Charles Dickens,Jane Smiley,3.82,0670030775,9.78067E+12,eng,224.0,552,81,5/13/2002,Viking
15054,Written on the Body,Jeanette Winterson,4.07,0679744479,9.78068E+12,eng,192.0,20951,1361,02/01/1994,Vintage
44034,Masters of Small Worlds: Yeoman Households  Gender Relations  and the Political Culture of the Antebellum South Carolina Low Country,Stephanie McCurry,3.69,0195117956,9.7802E+12,eng,344.0,98,6,11/01/1997,Oxford University Press  USA
36334,Doomed Queen Anne (Young Royals  #3),Carolyn Meyer,3.87,0152050868,9.78015E+12,eng,240.0,3547,195,05/01/2004,HMH Books for Young Readers
40220,Godslayer (The Sundering  #2),Jacqueline Carey,3.7,076535098X,9.78077E+12,en-US,404.0,2868,127,6/27/2006,Tor Books
409,Against the Day,Thomas Pynchon,4.13,159420120X,9.78159E+12,eng,1085.0,5296,587,11/21/2006,Penguin Press
13374,A Complicated Kindness,Miriam Toews,3.65,1582433224,9.78158E+12,eng,253.0,17963,1023,8/17/2005,Counterpoint LLC
404,Running Dog,Don DeLillo,3.43,0679722947,9.78068E+12,eng,256.0,1356,72,7/17/1989,Vintage Contemporaries
23784,The Major Plays,Anton Chekhov/Ann Dunnigan/Rosamund Bartlett/Robert Brustein,4.18,0451530373,9.78045E+12,eng,406.0,102,16,12/05/2006,Signet
31578,Curries Without Worries,Sudha Koul/Warner Books,3.93,0446670782,9.78045E+12,eng,160.0,35,4,03/01/1996,Grand Central Publishing
22888,Just Another Pretty Face (Hollywood Dynasty  #2),Candace Schuler,3.89,0373255594,9.78037E+12,eng,215.0,17,1,7/23/1993,Harlequin Temptation
31313,Dance of the Gods (Circle Trilogy  #2),Nora Roberts,4.15,0515141666,9.78052E+12,eng,321.0,25065,576,10/03/2006,Jove
